XVAL,YVAL,DENSITY
-10.0000,-10.0000,0.265361
-10.0000,-9.9000,0.090475
-10.0000,-9.8000,0.049175
-10.0000,-9.7000,0.555955
-10.0000,-9.6000,0.584822
-10.0000,-9.5000,0.698954
-10.0000,-9.4000,0.484749
-10.0000,-9.3000,0.134651
-10.0000,-9.2000,0.197860
-10.0000,-9.1000,-0.122381
-10.0000,-9.0000,-0.036835
-10.0000,-8.9000,0.481598
-10.0000,-8.8000,0.366412
-10.0000,-8.7000,0.053286
-10.0000,-8.6000,0.103501
-10.0000,-8.5000,0.646213
-10.0000,-8.4000,0.338137
-10.0000,-8.3000,0.506758
-10.0000,-8.2000,0.273008
-10.0000,-8.1000,-0.008450
-10.0000,-8.0000,0.527770
-10.0000,-7.9000,0.282816
-10.0000,-7.8000,0.052102
-10.0000,-7.7000,0.549649
-10.0000,-7.6000,0.088370
-10.0000,-7.5000,0.052725
-10.0000,-7.4000,-0.094498
-10.0000,-7.3000,0.262901
-10.0000,-7.2000,0.538540
-10.0000,-7.1000,0.642075
-10.0000,-7.0000,0.651889
-10.0000,-6.9000,0.480409
-10.0000,-6.8000,0.095638
-10.0000,-6.7000,0.739935
-10.0000,-6.6000,0.046167
-10.0000,-6.5000,0.237038
-10.0000,-6.4000,0.289273
-10.0000,-6.3000,0.505720
-10.0000,-6.2000,-0.166575
-10.0000,-6.1000,0.068996
-10.0000,-6.0000,0.526655
-10.0000,-5.9000,0.111825
-10.0000,-5.8000,0.291385
-10.0000,-5.7000,0.532982
-10.0000,-5.6000,0.766584
-10.0000,-5.5000,0.684994
-10.0000,-5.4000,0.313109
-10.0000,-5.3000,0.569810
-10.0000,-5.2000,0.222677
-10.0000,-5.1000,0.034808
-10.0000,-5.0000,0.439419
-10.0000,-4.9000,0.589569
-10.0000,-4.8000,0.317582
-10.0000,-4.7000,0.119678
-10.0000,-4.6000,0.030696
-10.0000,-4.5000,0.254717
-10.0000,-4.4000,0.000346
-10.0000,-4.3000,0.433409
-10.0000,-4.2000,0.731193
-10.0000,-4.1000,0.304585
-10.0000,-4.0000,0.335327
-10.0000,-3.9000,0.428215
-10.0000,-3.8000,-0.057676
-10.0000,-3.7000,0.348432
-10.0000,-3.6000,0.612036
-10.0000,-3.5000,0.653267
-10.0000,-3.4000,0.164109
-10.0000,-3.3000,-0.090562
-10.0000,-3.2000,0.698620
-10.0000,-3.1000,0.025539
-10.0000,-3.0000,0.515276
-10.0000,-2.9000,0.477065
-10.0000,-2.8000,0.008554
-10.0000,-2.7000,0.499559
-10.0000,-2.6000,0.640248
-10.0000,-2.5000,0.454665
-10.0000,-2.4000,-0.003858
-10.0000,-2.3000,0.436466
-10.0000,-2.2000,-0.085408
-10.0000,-2.1000,0.536208
-10.0000,-2.0000,-0.029544
-10.0000,-1.9000,-0.028464
